input;fab
$Z $W;$W
$Z $A;$A
$Z $B;$B
$Z $C;$C
$Z $D;$D
A A P;AAP
A C A P;ACAP
A C A;ACA
ACC 11;ACC11
A C C 11;ACC11
ACC 12;ACC12
A C C 12;ACC12
ACP 2;ACP2
A C P 2;ACP2
A C S;ACS
A C 3;AC3
A C;AC
A E N K;AENK
A E S;AES
AEX DA;AEXDA
A E X D A;AEXDA
A E X SG;AEXSG
A E X S G;AEXSG
A E X;AEX
A E C E;AECE
A F P A;AFPA
A G F;ASSURANCE
A J T;AJT
L A M;LAM
A M;AM
A N P E;ANPE
A N P 1;ANP1
A N P 2;ANP2
A P J;APJ
AP N1;APN1
APN 1;APN1
A P N 1;APN1
AP N2;APN2
APN 2;APN2
A P N 2;APN2
A P N A;APN
A P N;APN
A S I;ASI
A S H Q*;ASH
A S H;ASH
A S M;ASEM
A S;AS
A T B;ATB
A T E R;ATER
A T G I;ATG1
A T G 1;ATG1
A T G 2;ATG2
A T H Q;ATHQ
A T Q;ATQ
A T S E M;ATSEM
A D S E M;ATSEM
A T S M;ATSEM
A T 2;AGTTECHN
A E;AE
AX BSG;AUXILIAIRE PTT
AX BLG;AUXILIAIRE PTT
AX DIS;AUXILIAIRE PTT
B E;BE
B T P;BTP
C A T;CATRAV
C E A;CEA
C E G;COLLEGE
C E S;CES
P C E T;PROFSECTEC
C E T A;SECONDTECH
C E T;SECONDTECH
C H U;HOPITAL
C H S;HOPITAL
C F A;CFA
C N E S;CNES
C N R S;CNRS
C P E N;CPEN
C R S;CRS
D A O;DAO
D C A N;DCAN
D D A;DDA
D D E;DDE
D P L G;DPLG
I D E;INFIRMIER
INFIRMIER* D E;INFIRMIER
D R AS S;DASS
D R;DR
E D F;EDF
E N S;ENS
E P S;EPS
E T S;ETS
F P;FP
G D F;GDF
H L M;HLM
H P;HP
I G N;IGN
I M P;IMP
I N E D;INED
I N R A;INRA
I U F M;IUFM
L E P;SECONDTECH
L P;SECONDTECH
L S;LS
M A 1;MAITRAUX
M A 2;MAITRAUX
M A 3;MAITRAUX
M A;MAITRAUX
M O C N;MOCN
O A T;OAT
O AE;OEA
O E A;OEA
O E V P;OEVP
O H Q;OQ
O N F;ONF
O P Q;OQ
O P S;OQ
O P;OQ
H&;
O P HLM;HLM
O Q 1;OQ
O Q 2;OQ
O Q 3;OQ
O Q;OQ
O R L;ORL
O S;OS
P A O;PAO
P D G;PDG
P E G C;PEGC
PE GC;PEGC
P E G;PEG
PLP 1;PLP1
PL P1;PLP1
PL P 1;PLP1
P L P 1;PLP1
PLP 2;PLP2
P L P 2;PLP2
PL P 2;PLP2
PL P2;PLP2
P M I;PMI
P M U;PMU
P L;PL
P T T;PTT
P ET T;PTT
P V C;PVC
P 1*;OQ
P 2*;OQ
P 3*;OQ
P 4*;OQ
R A T P;RATP
S A S U;SASU
S A V;SAV
S N C F;SNCF
S T E;SOCIETE
S V T;SVT
T C;TC
T P E;TPE
T P;TP
T V;TV
U A P;ASSURANCE
V L;VL
V R P;REPRESENTANT
W L;WL
&;
ADSEM;ATSEM
ATSM;ATSEM
ANCIEN*;
ANNEXE*;
AU;
AUCUNE INDICATION* **;
AUCUN*;
AUCUNE AUTRE* INDICATION* **;
AUPRES;
AVEC;
AYANT;
BEP;
BIS;
CADRE PERMANENT*;
CATEGORIE SPECIAL*;
CDD;
CHELON;
CHEVRONNE;
CHEZ;
CLASSIFICA*;
CODE;
COMME;
CONNU*;
CONTRAT CES;CES
CONTRAT CONSOL*;
CONTRAT EMPLOI CONS*;
CONTRAT EMPLOI SOLID*;
CONTRAT I* EMP*;
CONTRAT RETOUR EMPLOI;
DAND;
DANS;
DE;
DEPENDANT*;
DES;
DIVERS*;
DUREE* LIMITE*;
DU;
DS;
EMPLOI* CONTRAT SOLID*;
EN;
ENVIRON;
ES;
EQUIVALEN*;
R ET D;RD
ET;
CLASSE* FONCTIONNEL*;
FONCTIONNEL*;
IDE;INFIRMIER
ID;INFIRMIER
IDEM;
IGNORE *;
INCONNU*;
INDETERMIN*;
INT;
LE;
LES;
LA POSTE;PTT
CADRE A LA;CADRE
LA;
MI TEMP*;
NEANT;
N S P;
NSP;
N A P* REPON*;
NE SAIT PAS;
NE CONNAI* PAS **;
NE CONNAI* PAS;
NE CORRESPON* PAS **;
NE CORRESPON* PAS;
NE POSSEDE P* **;
NE PRECISE PAS **;
NE PRECISE PAS;
NE SAIT PLUS;
NE SAIT RIEN;
NE SE SOUVIEN* PAS;
NE SE SOUVIEN* PLUS;
NE VEUT PAS *;
NON DIPLOME*;NONDIPLOME
NON SPECIAL*;NONSPECIAL
NON TITULA*;
NO;
NSP;
OBJEC* CONSC*;
OU;
PAR;
PAS AUTRE **;
PAS GRADE*;
PAS PRECIS*;
PAS REPONSE*;
PAS QUALIF*;NQ
PAS;
PENDANT;
POSTE FIXE;
POUR;
CADRE D UN*;CADRE
UN;
UNE;
UNIQUEMENT;
SAI;
SANS INDICATION*;
SANS AUCUNE INDIC*;
SANS AUCUNE PRECISION*;
SANS AUTRE INDIC*;
SANS AUTRE PRECISION*;
SANS AUTRE POSITION*;
SANS CONTRAT*;
SANS COEFFICI*;
SANS GRADE;
SANS NI;
SANS QUALIF*;NQ
SANS PROFESSION;
**( SANS;**(
SMIC;
SMIG;
STAG* AFPA;
STAG* ** AFPA;**
STAG* CES;
STAG* FORMATION;
STAG* REMUNERE;
STATUT;
SUR;
TRAVAILLE;
TRAFFIC;TRAFIC
TUC;
TEMPORAIRE;
TEMP* COMPLE*;
TEMP* PARTIEL*;
TER;
NI;
REEL;
REFUS* REPON*;
RIEN AUTRE;
RIEN EST PRECISE;
RIEN PRECISE;
RIEN;
A SON COMPTE;INDEPENDANT
CADRE STATUTAIRE;CATEG
01;1
02;2
II;2
DEUX;2
03;3
III;3
TROIS;3
04;4
IV;4
QUATRE;4
05;5
V;5
CINQ;5
06;6
VI;6
SIX;6
07;7
VII;7
SEPT;7
08;8
VIII;8
HUIT;8
09;9
IX;9
NEUF;9
1E;1ER
1ERE;1ER
1IER;1ER
1IERE;1ER
1RE;1ER
1 E;1ER
1 ER;1ER
1 ERE;1ER
1 IER;1ER
1 IERE;1ER
PREMIER;1ER
PREMIERE;1ER
IE;1ER
IER;1ER
IERE;1ER
I E;1ER
I ER;1ER
I ERE;1ER
2E;2EME
2EM;2EME
2EME;2EME
2IE;2EME
2IEM;2EME
2IEME;2EME
2M;2EME
2ME;2EME
2 E;2EME
2 EM;2EME
2 EME;2EME
2 IE;2EME
2 IEM;2EME
2 IEME;2EME
DEUXIEME;2EME
SECONDE;2EME
SECOND;2EME
3E;3EME
3EM;3EME
3EME;3EME
3IE;3EME
3IEM;3EME
3IEME;3EME
3M;3EME
3ME;3EME
3 E;3EME
3 EM;3EME
3 EME;3EME
3 IE;3EME
3 IEM;3EME
3 IEME;3EME
TROISIEME;3EME
4E;4EME
4EM;4EME
4EME;4EME
4IE;4EME
4IEM;4EME
4IEME;4EME
4M;4EME
4ME;4EME
4 E;4EME
4 EM;4EME
4 EME;4EME
4 IE;4EME
4 IEM;4EME
4 IEME;4EME
QUATRIEME;4EME
5E;5EME
5EM;5EME
5EME;5EME
5IE;5EME
5IEM;5EME
5IEME;5EME
5M;5EME
5ME;5EME
5 E;5EME
5 EM;5EME
5 EME;5EME
5 IE;5EME
5 IEM;5EME
5 IEME;5EME
CINQUIEME;5EME
6E;6EME
6EM;6EME
6EME;6EME
6IE;6EME
6IEM;6EME
6IEME;6EME
6M;6EME
6ME;6EME
6 E;6EME
6 EM;6EME
6 EME;6EME
6 IE;6EME
6 IEM;6EME
6 IEME;6EME
SIXIEME;6EME
7E;7EME
7EM;7EME
7EME;7EME
7IE;7EME
7IEM;7EME
7IEME;7EME
7M;7EME
7ME;7EME
7 E;7EME
7 EM;7EME
7 EME;7EME
7 IE;7EME
7 IEM;7EME
7 IEME;7EME
SEPTIEME;7EME
8E;8EME
8EM;8EME
8EME;8EME
8IE;8EME
8IEM;8EME
8IEME;8EME
8M;8EME
8ME;8EME
8 E;8EME
8 EM;8EME
8 EME;8EME
8 IE;8EME
8 IEM;8EME
8 IEME;8EME
HUITIEME;8EME
9E;9EME
9EM;9EME
9EME;9EME
9IE;9EME
9IEM;9EME
9IEME;9EME
9M;9EME
9ME;9EME
9 E;9EME
9 EM;9EME
9 EME;9EME
9 IE;9EME
9 IEM;9EME
9 IEME;9EME
NEUVIEME;9EME
10E;10EME
10EM;10EME
10EME;10EME
10IE;10EME
10IEM;10EME
10IEME;10EME
10M;10EME
10ME;10EME
10 E;10EME
10 EM;10EME
10 EME;10EME
10 IE;10EME
10 IEM;10EME
10 IEME;10EME
DIXIEME;10EME
11E;11EME
11EM;11EME
11EME;11EME
11IE;11EME
11IEM;11EME
11IEME;11EME
11M;11EME
11ME;11EME
11 E;11EME
11 EM;11EME
11 EME;11EME
11 IE;11EME
11 IEM;11EME
11 IEME;11EME
ONZIEME;11EME
12E;12EME
12EM;12EME
12EME;12EME
12IE;12EME
12IEM;12EME
12IEME;12EME
12M;12EME
12ME;12EME
12 E;12EME
12 EM;12EME
12 EME;12EME
12 IE;12EME
12 IEM;12EME
12 IEME;12EME
DOUZIEME;12EME
13E;13EME
13EM;13EME
13EME;13EME
13IE;13EME
13IEM;13EME
13IEME;13EME
13M;13EME
13ME;13EME
13 E;13EME
13 EM;13EME
13 EME;13EME
13 IE;13EME
13 IEM;13EME
13 IEME;13EME
TREIZIEME;13EME
CAREGORIE;CATEGORIE
CATA;$A
CATEGA;$A
CATEGORIEA;$A
CATB;$B
CATEGB;$B
CATEGORIEB;$B
CATC;$C
CATEGC;$C
CATEGORIEC;$C
CATD;$D
CATEGD;$D
CATEGORIED;$D
CA1;CATEGORIE1
CAT1*;CATEGORIE1
CATEG1*;CATEGORIE1
CA2;CATEGORIE2
CAT2*;CATEGORIE2
CATEG2*;CATEGORIE2
CA3;CATEGORIE3
CAT3*;CATEGORIE3
CATEG3*;CATEGORIE3
CA4;CATEGORIE4
CAT4*;CATEGORIE4
CATEG4*;CATEGORIE4
CA5;CATEGORIE5
CAT5*;CATEGORIE5
CATEG5*;CATEGORIE5
CA6;CATEGORIE6
CAT6*;CATEGORIE6
CATEG6*;CATEGORIE6
CA7;CATEGORIE7
CAT7*;CATEGORIE7
CATEG7*;CATEGORIE7
1CA;CATEGORIE1
1CAT*;CATEGORIE1
2CA;CATEGORIE2
2CAT*;CATEGORIE2
3CA;CATEGORIE3
3CAT*;CATEGORIE3
4CA;CATEGORIE4
4CAT*;CATEGORIE4
5CA;CATEGORIE5
5CAT*;CATEGORIE5
6CA;CATEGORIE6
6CAT*;CATEGORIE6
7CA;CATEGORIE7
7CAT*;CATEGORIE7
GRADEA;$A
GRADEB;$B
GRADEC;$C
GRADED;$D
GRAD1*;GRADE1
GRAD2*;GRADE2
GRAD3*;GRADE3
1GRAD*;GRADE1
2GRAD*;GRADE2
3GRAD*;GRADE3
GPE1*;G1
GRPE1*;G1
GROUPE1*;G1
GPE2*;G2
GRPE2*;G2
GROUPE2*;G2
GPE3*;G3
GRPE3*;G3
GROUPE3*;G3
GPE4*;G4
GRPE4*;G4
GROUPE4*;G4
GPE5*;G5
GRPE5*;G5
GROUPE5*;G5
GPE6*;G6
GRPE6*;G6
GROUPE6*;G6
1GPE;G1
1GRPE;G1
1GROUPE;G1
2GPE;G2
2GRPE;G2
2GROUPE;G2
3GPE;G3
3GRPE;G3
3GROUPE;G3
4GPE;G4
4GRPE;G4
4GROUPE;G4
5GPE;G5
5GRPE;G5
5GROUPE;G5
6GPE;G6
6GRPE;G6
6GROUPE;G6
CLA1*;CL1
CLAS1*;CL1
CLASSE1*;CL1
CLA2*;CL2
CLAS2*;CL2
CLASSE2*;CL2
CLA3*;CL3
CLAS3*;CL3
CLASSE3*;CL3
CLA4*;CL4
CLAS4*;CL4
CLASSE4*;CL4
1CL;CL1
1CLA*;CL1
2CL;CL2
2CLA*;CL2
3CL;CL3
3CLA*;CL3
4CL;CL4
4CLA*;CL4
ECHELLE1*;E1
ECHELLE2*;E2
ECHELLE3*;E3
ECHELLE4*;E4
ECHELLE5*;E5
1ECHELLE;E1
2ECHELLE;E2
3ECHELLE;E3
4ECHELLE;E4
5ECHELLE;E5
NIV1;N1
NIVEAU1;N1
NIV2;N2
NIVEAU2;N2
NIV3;N3
NIVEAU3;N3
NIV4;N4
NIVEAU4;N4
NIV5;N5
NIVEAU5;N5
1NIV*;N1
2NIV*;N2
3NIV*;N3
4NIV*;N4
5NIV*;N5
1DEGRE;DEGRE1
2DEGRE;DEGRE2
3DEGRE;DEGRE3
4DEGRE;DEGRE4
5DEGRE;DEGRE5
6DEGRE;DEGRE6
7DEGRE;DEGRE7
8DEGRE;DEGRE8
1ANNEE;ANNEE1
2ANNEE;ANNEE2
3ANNEE;ANNEE3
4ANNEE;ANNEE4
5ANNEE;ANNEE5
6ANNEE;ANNEE6
ECH0*;
ECHE0*;
ECHEL0*;
ECHELON0*;
ECH1*;
ECHE1*;
ECHEL1*;
ECHELON1*;
ECH2*;
ECHE2*;
ECHEL2*;
ECHELON2*;
ECH3*;
ECHE3*;
ECHEL3*;
ECHELON3*;
ECH4*;
ECHE4*;
ECHEL4*;
ECHELON4*;
ECH5*;
ECHE5*;
ECHEL5*;
ECHELON5*;
ECH6*;
ECHE6*;
ECHEL6*;
ECHELON6*;
ECH7*;
ECHE7*;
ECHEL7*;
ECHELON7*;
ECH8*;
ECHE8*;
ECHEL8*;
ECHELON8*;
ECH9*;
ECHE9*;
ECHEL9*;
ECHELON9*;
1ECH*;
2ECH*;
3ECH*;
4ECH*;
5ECH*;
6ECH*;
7ECH*;
8ECH*;
9ECH*;
10ECH*;
11ECH*;
12ECH*;
13ECH*;
10ECH*;
11ECH*;
12ECH*;
13ECH*;
COEF*;COEF
COEF 0*;
COEF 1*;
COEF 2*;
COEF 3*;
COEF 4*;
COEF 5*;
COEF 6*;
COEF 7*;
COEF 8*;
COEF 9*;
COEF;
IND0*;
INDI0*;
INDICE0*;
IND1*;
INDI1*;
INDICE1*;
IND2*;
INDI2*;
INDICE2*;
IND3*;
INDI3*;
INDICE3*;
IND4*;
INDI4*;
INDICE4*;
IND5*;
INDI5*;
INDICE5*;
IND6*;
INDI6*;
INDICE6*;
IND7*;
INDI7*;
INDICE7*;
IND8*;
INDI8*;
INDICE8*;
IND9*;
INDI9*;
INDICE9*;
GR* INDIC*;INDICE
IND* BRUT;INDICE
INDICE PENSION;INDICE
INDICE REEL;INDICE
INM;INDICE
IND* M;INDICE
IND* MAJ*;INDICE
IND* NET;INDICE
IND* NOUV* MAJ*;INDICE
NM;
MAJORE;
IND* 0*;
IND* 1*;
IND* 2*;
IND* 3*;
IND* 4*;
IND* 5*;
IND* 6*;
IND* 7*;
IND* 7*;
IND* 8*;
IND* 9*;
INDICE*;
CAT* A;$A
CIE A;$A
CAT* B;$B
CIE B;$B
CAT* C;$C
CIE C;$C
CAT* D;$D
CIE D;$D
1ER CA;CATEGORIE1
1ER CAT*;CATEGORIE1
2EME CA;CATEGORIE2
2EME CAT*;CATEGORIE2
3EME CA;CATEGORIE3
3EME CAT*;CATEGORIE3
4EME CA;CATEGORIE4
4EME CAT*;CATEGORIE4
5EME CA;CATEGORIE5
5EME CAT*;CATEGORIE5
6EME CA;CATEGORIE6
6EME CAT*;CATEGORIE6
7EME CA;CATEGORIE7
7EME CAT*;CATEGORIE7
CAT* INTERM*;
CAT* NORM*;
CAT* SUP*;
HORS CAT*;CATEGORIEH
HC;
GRAD* A;$A
GRAD* B;$B
GRAD* C;$C
GRAD* D;$D
GRAD* EX*;
GRAD* SUP*;
1ER GRAD*;GRADE1
2EME GRAD*;GRADE2
3EME GRAD*;GRADE3
CADRE A;$A
CADRE B;$B
CADRE C;$C
D ACHAT*;ACHAT
D ASSURANCE*;ASSURANCE
CADRE D EMPLOI*;CADRE EMPLOI
D ENTREPRISE;ENTREPRISE
CADRE D ENT*;CADRE ENTREPRISE
CADRE D EQUIPEMENT;CADRE EQUIPEMENT
CADRE D EXPLOIT*;CADRE EXPLOITATION
D INDUST*;INDUSTRIE
CADRE D INDUST*;CADRE INDUSTRIE
CADRE D;$D
CADRE 1;CATEGORIE1
CADRE 2;CATEGORIE2
CADRE 3;CATEGORIE3
CADRE 4;CATEGORIE4
CADRE 5;CATEGORIE5
CADRE 6;CATEGORIE6
CADRE 7;CATEGORIE7
G;GROUPE
GPE;GROUPE
GP;GROUPE
GRPE;GROUPE
GROUPE FONCTIONNEL*;
1ER GROUPE;G1
2EME GROUPE;G2
3EME GROUPE;G3
4EME GROUPE;G4
5EME GROUPE;G5
6EME GROUPE;G6
HORS GROUPE;
CL;CLASSE
CLA;CLASSE
CLAS;CLASSE
CLASS;CLASSE
CLASSIF*;CLASSE
CLASSE A;$A
CLASSE B;$B
CLASSE C;$C
CLASSE D;$D
1ER CLASSE*;CL1
2EME CLASSE*;CL2
3EME CLASSE*;CL3
4EME CLASSE*;CL4
HORS CLASSE;CLHORS
CLASSE EX*;CLASSEX
C NORM*;CLNORM
CLASSENO;CLNORM
CLASSE N;CLNORM
CLASSE NLE;CLNORM
CLASSE NORM*;CLNORM
CLASSE SIMPLE;CLNORM
CLASSE SUP*;CLASSSUP
HORS ECH* A;$A
HORS ECH* B;$A
HORS ECH* C;$A
HORS ECH*;$A
ECHELLE 1*;E1
E 1;E1
ECHELLE E1;E1
1 ECHELLE;E1
ECHELLE 2*;E2
E 2;E2
ECHELLE E2;E2
2 ECHELLE;E2
ECHELLE 3*;E3
E 3;E3
ECHELLE E3;E3
3 ECHELLE;E3
ECHELLE 4*;E4
E 4;E4
ECHELLE E4;E4
4 ECHELLE;E4
ECHELLE 5*;E5
E 5;E5
ECHELLE E5;E5
5 ECHELLE;E5
NIV* A;NIVEAUA
NIV* B;NIVEAUB
NIV* C;NIVEAUC
NIV* D;NIVEAUD
NIV* E;NIVEAUE
1ER NIV*;N1
2EME NIV*;N2
3EME NIV*;N3
4EME NIV*;N4
5EME NIV*;N5
**( A;$A **
$A $W;$W
$A $Z;$A
$A $*;$A
A;
**( B;$B **
$B $W;$W
$B $Z;$B
$B $*;$B
**( C;$C **
$C $W;$W
$C $Z;$C
$C $*;$C
C;
**( D;$D **
$D $W;$W
$D $Z;$D
$D $*;$D
D;
L;
1ER DEG*;DEGRE1
2EME DEG*;DEGRE2
3EME DEG*;DEGRE3
4EME DEG*;DEGRE4
5EME DEG*;DEGRE5
6EME DEG*;DEGRE6
7EME DEG*;DEGRE7
8EME DEG*;DEGRE8
1ER ANNE*;ANNEE1
2EME ANNE*;ANNEE2
3EME ANNE*;ANNEE3
4EME ANNE*;ANNEE4
5EME ANNE*;ANNEE5
6EME ANNE*;ANNEE6
CHELON;ECH
EC;ECH
EHELON;ECH
1ER ECH*;
2EME ECH*;
3EME ECH*;
4EME ECH*;
5EME ECH*;
6EME ECH*;
7EME ECH*;
8EME ECH*;
9EME ECH*;
10EME ECH*;
11EME ECH*;
12EME ECH*;
13EME ECH*;
ECH* 0*;
ECH* 1*;
ECH* 2*;
ECH* 3*;
ECH* 4*;
ECH* 5*;
ECH* 6*;
ECH* 7*;
ECH* 8*;
ECH* 9*;
ECH* SUP*;
0* ECH*;
1* ECH*;
2* ECH*;
3* ECH*;
4* ECH*;
5* ECH*;
6* ECH*;
7* ECH*;
8* ECH*;
9* ECH*;
CAT* 1;CATEGORIE1
CAT* 2;CATEGORIE2
CAT* 3;CATEGORIE3
CAT* 4;CATEGORIE4
CAT* 5;CATEGORIE5
CAT* 6;CATEGORIE6
CAT* 7;CATEGORIE7
1 CAT*;CATEGORIE1
2 CAT*;CATEGORIE2
3 CAT*;CATEGORIE3
4 CAT*;CATEGORIE4
5 CAT*;CATEGORIE5
6 CAT*;CATEGORIE6
7 CAT*;CATEGORIE7
1 GRAD*;GRADE1
2 GRAD*;GRADE2
3 GRAD*;GRADE3
GRAD* 1;GRADE1
GRAD* 2;GRADE2
GRAD* 3;GRADE3
1 GROUPE;G1
2 GROUPE;G2
3 GROUPE;G3
4 GROUPE;G4
5 GROUPE;G5
6 GROUPE;G6
GROUPE 1;G1
GROUPE 2;G2
GROUPE 3;G3
GROUPE 4;G4
GROUPE 5;G5
GROUPE 6;G6
GR;
1 CLASSE*;CL1
2 CLASSE*;CL2
4 CLASSE*;CL4
3 CLASSE*;CL3
CLASSE 1;CL1
CLASSE 2;CL2
CLASSE 3;CL3
CLASSE 4;CL4
1 NIV*;N1
2 NIV*;N2
3 NIV*;N3
4 NIV*;N4
5 NIV*;N5
N 1;N1
N 2;N2
N 3;N3
N 4;N4
N 5;N5
NIV* 1;N1
NIV* 2;N2
NIV* 3;N3
NIV* 4;N4
NIV* 5;N5
1 DEGRE;DEGRE1
2 DEGRE;DEGRE2
3 DEGRE;DEGRE3
4 DEGRE;DEGRE4
5 DEGRE;DEGRE5
